"trial_name","trial_number","key_pressed","correctness","RT","s","d","question","picture","key1","key2","expected","correct","ID_of_picture","degree_of_rotation","QUD","response_checked","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"keyPress_main","3","s","correct","199","same","different","Are the objects the same or different?","mental_rotation_images/11_150_same.jpg","s","d","same","same","11","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","4","s","correct","210","same","different","Are the objects the same or different?","mental_rotation_images/15_50_same.jpg","s","d","same","same","15","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","5","s","incorrect","185","same","different","Are the objects the same or different?","mental_rotation_images/10_150_different.jpg","s","d","different","different","10","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","6","s","incorrect","190","same","different","Are the objects the same or different?","mental_rotation_images/10_50_different.jpg","s","d","different","different","10","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","7","s","incorrect","343","same","different","Are the objects the same or different?","mental_rotation_images/11_150_different.jpg","s","d","different","different","11","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","8","s","correct","164","same","different","Are the objects the same or different?","mental_rotation_images/12_50_same.jpg","s","d","same","same","12","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","9","s","incorrect","139","same","different","Are the objects the same or different?","mental_rotation_images/6_50_different.jpg","s","d","different","different","6","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","10","s","incorrect","144","same","different","Are the objects the same or different?","mental_rotation_images/15_150_different.jpg","s","d","different","different","15","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","11","s","correct","129","same","different","Are the objects the same or different?","mental_rotation_images/8_150_same.jpg","s","d","same","same","8","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","12","s","correct","154","same","different","Are the objects the same or different?","mental_rotation_images/10_150_same.jpg","s","d","same","same","10","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","13","s","incorrect","161","same","different","Are the objects the same or different?","mental_rotation_images/13_150_different.jpg","s","d","different","different","13","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","14","s","incorrect","143","same","different","Are the objects the same or different?","mental_rotation_images/15_50_different.jpg","s","d","different","different","15","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","15","s","incorrect","158","same","different","Are the objects the same or different?","mental_rotation_images/8_50_different.jpg","s","d","different","different","8","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","16","s","incorrect","143","same","different","Are the objects the same or different?","mental_rotation_images/9_150_different.jpg","s","d","different","different","9","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","17","s","incorrect","160","same","different","Are the objects the same or different?","mental_rotation_images/9_50_different.jpg","s","d","different","different","9","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","18","s","incorrect","172","same","different","Are the objects the same or different?","mental_rotation_images/11_50_different.jpg","s","d","different","different","11","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","19","s","correct","184","same","different","Are the objects the same or different?","mental_rotation_images/5_150_same.jpg","s","d","same","same","5","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
